freq	eps_real	eps_img
3.332601e+14	4.009384e+00	
3.333508e+14	4.009419e+00	
3.340142e+14	4.009674e+00	
3.341190e+14	4.009714e+00	
3.347682e+14	4.009963e+00	
3.348895e+14	4.010010e+00	
3.355219e+14	4.010253e+00	
3.356612e+14	4.010306e+00	
3.362761e+14	4.010543e+00	
3.364352e+14	4.010604e+00	
3.370301e+14	4.010832e+00	
3.372104e+14	4.010901e+00	
3.377839e+14	4.011122e+00	
3.379880e+14	4.011200e+00	
3.385379e+14	4.011411e+00	
3.387673e+14	4.011500e+00	
3.392917e+14	4.011701e+00	
3.395251e+14	4.011791e+00	
3.395478e+14	4.011799e+00	
3.400458e+14	4.011991e+00	
3.403307e+14	4.012100e+00	
3.408002e+14	4.012281e+00	
3.411153e+14	4.012402e+00	
3.415542e+14	4.012570e+00	
3.419017e+14	4.012704e+00	
3.423078e+14	4.012860e+00	
3.426899e+14	4.013007e+00	
3.430616e+14	4.013149e+00	
3.434799e+14	4.013310e+00	
3.438157e+14	4.013439e+00	
3.442716e+14	4.013614e+00	
3.445699e+14	4.013729e+00	
3.450650e+14	4.013919e+00	
3.453236e+14	4.014018e+00	
3.453770e+14	4.014039e+00	
3.458609e+14	4.014225e+00	
3.460780e+14	4.014308e+00	
3.466579e+14	4.014531e+00	
3.468320e+14	4.014598e+00	
3.474573e+14	4.014838e+00	
3.475860e+14	4.014887e+00	
3.482584e+14	4.015146e+00	
3.483395e+14	4.015177e+00	
3.490607e+14	4.015454e+00	
3.490936e+14	4.015467e+00	
3.498478e+14	4.015756e+00	
3.498654e+14	4.015763e+00	
3.506020e+14	4.016046e+00	
3.506724e+14	4.016073e+00	
3.513555e+14	4.016336e+00	
3.514807e+14	4.016384e+00	
3.521096e+14	4.016625e+00	
3.522906e+14	4.016695e+00	
3.528637e+14	4.016915e+00	
3.531030e+14	4.017007e+00	
3.536177e+14	4.017205e+00	
3.539171e+14	4.017320e+00	
3.543716e+14	4.017494e+00	
3.547330e+14	4.017633e+00	
3.551253e+14	4.017784e+00	
3.555507e+14	4.017947e+00	
3.558796e+14	4.018074e+00	
3.563701e+14	4.018262e+00	
3.566338e+14	4.018363e+00	
3.571913e+14	4.018578e+00	
3.573877e+14	4.018653e+00	
3.580149e+14	4.018894e+00	
3.581414e+14	4.018943e+00	
3.588403e+14	4.019211e+00	
3.588956e+14	4.019232e+00	
3.596495e+14	4.019522e+00	
3.596674e+14	4.019529e+00	
3.604032e+14	4.019811e+00	
3.604969e+14	4.019847e+00	
3.611573e+14	4.020101e+00	
3.612334e+14	4.020130e+00	
3.613276e+14	4.020167e+00	
3.619117e+14	4.020391e+00	
3.621606e+14	4.020487e+00	
3.626651e+14	4.020680e+00	
3.629955e+14	4.020807e+00	
3.634196e+14	4.020970e+00	
3.638320e+14	4.021129e+00	
3.641737e+14	4.021260e+00	
3.646711e+14	4.021451e+00	
3.649274e+14	4.021550e+00	
3.653532e+14	4.021713e+00	
3.655119e+14	4.021774e+00	
3.656813e+14	4.021839e+00	
3.663544e+14	4.022098e+00	
3.664356e+14	4.022129e+00	
3.671894e+14	4.022419e+00	
3.671987e+14	4.022422e+00	
3.679434e+14	4.022708e+00	
3.680454e+14	4.022747e+00	
3.686976e+14	4.022998e+00	
3.688939e+14	4.023073e+00	
3.694514e+14	4.023288e+00	
3.697441e+14	4.023400e+00	
3.702053e+14	4.023577e+00	
3.705961e+14	4.023727e+00	
3.709593e+14	4.023867e+00	
3.714506e+14	4.024056e+00	
3.717135e+14	4.024157e+00	
3.723068e+14	4.024384e+00	
3.724671e+14	4.024446e+00	
3.731654e+14	4.024714e+00	
3.732208e+14	4.024736e+00	
3.739754e+14	4.025026e+00	
3.740258e+14	4.025045e+00	
3.747293e+14	4.025315e+00	
3.748880e+14	4.025376e+00	
3.754832e+14	4.025605e+00	
3.757519e+14	4.025708e+00	
3.762371e+14	4.025894e+00	
3.766183e+14	4.026041e+00	
3.769911e+14	4.026184e+00	
3.774864e+14	4.026374e+00	
3.777451e+14	4.026474e+00	
3.783562e+14	4.026708e+00	
3.784991e+14	4.026763e+00	
3.792286e+14	4.027044e+00	
3.792530e+14	4.027053e+00	
3.800069e+14	4.027343e+00	
3.800903e+14	4.027375e+00	
3.801026e+14	4.027379e+00	
3.807606e+14	4.027632e+00	
3.809792e+14	4.027716e+00	
3.815151e+14	4.027922e+00	
3.818575e+14	4.028054e+00	
3.822687e+14	4.028212e+00	
3.827375e+14	4.028392e+00	
3.830230e+14	4.028501e+00	
3.836201e+14	4.028731e+00	
3.837771e+14	4.028791e+00	
3.845043e+14	4.029070e+00	
3.845310e+14	4.029081e+00	
3.852848e+14	4.029370e+00	
3.853911e+14	4.029411e+00	
3.860391e+14	4.029660e+00	
